,Ante,Conse
112,"['BON PARI 40GR JUMBLE MIKS MARMELADOK POSET', 'MAXEL SOTKA 20-LIK']",['BACARDI 0.5LT CARTA ORO ROM']
113,['BACARDI 0.5LT CARTA ORO ROM'],"['BON PARI 40GR JUMBLE MIKS MARMELADOK POSET', 'MAXEL SOTKA 20-LIK']"
114,['BON PARI 40GR JUMBLE MIKS MARMELADOK POSET'],"['BACARDI 0.5LT CARTA ORO ROM', 'MAXEL SOTKA 20-LIK']"
115,['MAXEL SOTKA 20-LIK'],"['BACARDI 0.5LT CARTA ORO ROM', 'BON PARI 40GR JUMBLE MIKS MARMELADOK POSET']"
116,"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'BICAQ KIVI']",['MAXEL SOTKA 20-LIK']
117,"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'MAXEL SOTKA 20-LIK']",['BICAQ KIVI']
118,"['MAXEL SOTKA 20-LIK', 'BICAQ KIVI']",['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q']
119,['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q'],"['MAXEL SOTKA 20-LIK', 'BICAQ KIVI']"
120,['BICAQ KIVI'],"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'MAXEL SOTKA 20-LIK']"
121,['MAXEL SOTKA 20-LIK'],"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'BICAQ KIVI']"
122,"['KERE YAGI MILKLAND 82% KG', 'SUPER FRESH 500GR MIMI BOREK PENDIRLI']",['BIZIM SUFRE 250GR BURGER SOUSU PL/Q']
123,"['KERE YAGI MILKLAND 82% KG', 'BIZIM SUFRE 250GR BURGER SOUSU PL/Q']",['SUPER FRESH 500GR MIMI BOREK PENDIRLI']
124,"['SUPER FRESH 500GR MIMI BOREK PENDIRLI', 'BIZIM SUFRE 250GR BURGER SOUSU PL/Q']",['KERE YAGI MILKLAND 82% KG']
125,['KERE YAGI MILKLAND 82% KG'],"['SUPER FRESH 500GR MIMI BOREK PENDIRLI', 'BIZIM SUFRE 250GR BURGER SOUSU PL/Q']"
126,['SUPER FRESH 500GR MIMI BOREK PENDIRLI'],"['KERE YAGI MILKLAND 82% KG', 'BIZIM SUFRE 250GR BURGER SOUSU PL/Q']"
127,['BIZIM SUFRE 250GR BURGER SOUSU PL/Q'],"['KERE YAGI MILKLAND 82% KG', 'SUPER FRESH 500GR MIMI BOREK PENDIRLI']"
128,"['LAV 12-LI CAY DESTI CORAL DIVA', 'KARAMEL ULDUZ COFFONE COFFE KG']",['SUNBUL 8AD KABABLIQ LAVAS']
129,"['LAV 12-LI CAY DESTI CORAL DIVA', 'SUNBUL 8AD KABABLIQ LAVAS']",['KARAMEL ULDUZ COFFONE COFFE KG']
130,"['KARAMEL ULDUZ COFFONE COFFE KG', 'SUNBUL 8AD KABABLIQ LAVAS']",['LAV 12-LI CAY DESTI CORAL DIVA']
131,['LAV 12-LI CAY DESTI CORAL DIVA'],"['KARAMEL ULDUZ COFFONE COFFE KG', 'SUNBUL 8AD KABABLIQ LAVAS']"
132,['KARAMEL ULDUZ COFFONE COFFE KG'],"['LAV 12-LI CAY DESTI CORAL DIVA', 'SUNBUL 8AD KABABLIQ LAVAS']"
133,['SUNBUL 8AD KABABLIQ LAVAS'],"['LAV 12-LI CAY DESTI CORAL DIVA', 'KARAMEL ULDUZ COFFONE COFFE KG']"
134,"['AVK DOMIOR 420GR WHISKY SOKOLAD QUTU', 'AZERCAY 100GR QARA CAY PEKOE DOGMA CAY QUTU']",['ZOLOTOE SOLNISKO 1LT GUNEBAXAN YAGI']
135,"['AVK DOMIOR 420GR WHISKY SOKOLAD QUTU', 'ZOLOTOE SOLNISKO 1LT GUNEBAXAN YAGI']",['AZERCAY 100GR QARA CAY PEKOE DOGMA CAY QUTU']
136,"['AZERCAY 100GR QARA CAY PEKOE DOGMA CAY QUTU', 'ZOLOTOE SOLNISKO 1LT GUNEBAXAN YAGI']",['AVK DOMIOR 420GR WHISKY SOKOLAD QUTU']
137,['AVK DOMIOR 420GR WHISKY SOKOLAD QUTU'],"['AZERCAY 100GR QARA CAY PEKOE DOGMA CAY QUTU', 'ZOLOTOE SOLNISKO 1LT GUNEBAXAN YAGI']"
138,['AZERCAY 100GR QARA CAY PEKOE DOGMA CAY QUTU'],"['AVK DOMIOR 420GR WHISKY SOKOLAD QUTU', 'ZOLOTOE SOLNISKO 1LT GUNEBAXAN YAGI']"
139,['ZOLOTOE SOLNISKO 1LT GUNEBAXAN YAGI'],"['AVK DOMIOR 420GR WHISKY SOKOLAD QUTU', 'AZERCAY 100GR QARA CAY PEKOE DOGMA CAY QUTU']"
140,"['SAUSAGE FOOD SERVLET 4 THREADS KG', 'MIS.MUS.SUSE UCUN NASATIR SPIRTLI 500ML']",['PEYMAN 200GR DOR LEO KABUKLU ANTEP FISTI']
141,"['SAUSAGE FOOD SERVLET 4 THREADS KG', 'PEYMAN 200GR DOR LEO KABUKLU ANTEP FISTI']",['MIS.MUS.SUSE UCUN NASATIR SPIRTLI 500ML']
142,"['MIS.MUS.SUSE UCUN NASATIR SPIRTLI 500ML', 'PEYMAN 200GR DOR LEO KABUKLU ANTEP FISTI']",['SAUSAGE FOOD SERVLET 4 THREADS KG']
143,['SAUSAGE FOOD SERVLET 4 THREADS KG'],"['MIS.MUS.SUSE UCUN NASATIR SPIRTLI 500ML', 'PEYMAN 200GR DOR LEO KABUKLU ANTEP FISTI']"
144,['MIS.MUS.SUSE UCUN NASATIR SPIRTLI 500ML'],"['SAUSAGE FOOD SERVLET 4 THREADS KG', 'PEYMAN 200GR DOR LEO KABUKLU ANTEP FISTI']"
145,['PEYMAN 200GR DOR LEO KABUKLU ANTEP FISTI'],"['SAUSAGE FOOD SERVLET 4 THREADS KG', 'MIS.MUS.SUSE UCUN NASATIR SPIRTLI 500ML']"
146,"['LAV 12-LI CAY DESTI CORAL DIVA', 'RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ']",['JAN 50ML STREC']
147,"['LAV 12-LI CAY DESTI CORAL DIVA', 'JAN 50ML STREC']",['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ']
148,"['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ', 'JAN 50ML STREC']",['LAV 12-LI CAY DESTI CORAL DIVA']
149,['LAV 12-LI CAY DESTI CORAL DIVA'],"['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ', 'JAN 50ML STREC']"
150,['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ'],"['LAV 12-LI CAY DESTI CORAL DIVA', 'JAN 50ML STREC']"
